id,imageurl,uri,titel,width,height
ddd-010962234-mpeg21-p036.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962234-mpeg21-p036.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962234:mpeg21:p036,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-11-20 pagina 36",677,2728
ddd-010962240-mpeg21-p036.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962240-mpeg21-p036.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962240:mpeg21:p036,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-11-27 pagina 36",692,2634
ddd-010962247-mpeg21-p038.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962247-mpeg21-p038.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962247:mpeg21:p038,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-12-04 pagina 38",680,3178
ddd-010962253-mpeg21-p042.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962253-mpeg21-p042.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962253:mpeg21:p042,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-12-11 pagina 42",674,2713
ddd-010962264-mpeg21-p022.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962264-mpeg21-p022.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962264:mpeg21:p022,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-12-24 pagina 22",518,2415
ddd-010962268-mpeg21-p022.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010962268-mpeg21-p022.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962268:mpeg21:p022,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-12-31 pagina 22",515,2473
ddd-010962274-mpeg21-p034.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010962274-mpeg21-p034.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962274:mpeg21:p034,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-01-08 pagina 34",680,2888
ddd-010962280-mpeg21-p036.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010962280-mpeg21-p036.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962280:mpeg21:p036,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-01-15 pagina 36",681,2180
ddd-010962286-mpeg21-p038.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010962286-mpeg21-p038.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962286:mpeg21:p038,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-01-22 pagina 38",655,1972
ddd-010962292-mpeg21-p038.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010962292-mpeg21-p038.jpg,https://resolver.kb.nl/resolve?urn=ddd:010962292:mpeg21:p038,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-01-29 pagina 38",673,2046
ddd-010949074-mpeg21-p034.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010949074-mpeg21-p034.jpg,https://resolver.kb.nl/resolve?urn=ddd:010949074:mpeg21:p034,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-02-05 pagina 34",673,3108
ddd-010949080-mpeg21-p034.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010949080-mpeg21-p034.jpg,https://resolver.kb.nl/resolve?urn=ddd:010949080:mpeg21:p034,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-02-12 pagina 34",647,3023
ddd-010949086-mpeg21-p036.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010949086-mpeg21-p036.jpg,https://resolver.kb.nl/resolve?urn=ddd:010949086:mpeg21:p036,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-02-19 pagina 36",686,2972
ddd-010949092-mpeg21-p038.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010949092-mpeg21-p038.jpg,https://resolver.kb.nl/resolve?urn=ddd:010949092:mpeg21:p038,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-02-26 pagina 38",667,3191
ddd-010949098-mpeg21-p036.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010949098-mpeg21-p036.jpg,https://resolver.kb.nl/resolve?urn=ddd:010949098:mpeg21:p036,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-03-05 pagina 36",657,2828
ddd-010949104-mpeg21-p036.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010949104-mpeg21-p036.jpg,https://resolver.kb.nl/resolve?urn=ddd:010949104:mpeg21:p036,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-03-12 pagina 36",671,2813
ddd-010949110-mpeg21-p040.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010949110-mpeg21-p040.jpg,https://resolver.kb.nl/resolve?urn=ddd:010949110:mpeg21:p040,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-03-19 pagina 40",652,3050
ddd-010949116-mpeg21-p040.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010949116-mpeg21-p040.jpg,https://resolver.kb.nl/resolve?urn=ddd:010949116:mpeg21:p040,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-03-26 pagina 40",672,2997
ddd-010949120-mpeg21-p034.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010949120-mpeg21-p034.jpg,https://resolver.kb.nl/resolve?urn=ddd:010949120:mpeg21:p034,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-04-02 pagina 34",669,2829
ddd-010949127-mpeg21-p039.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010949127-mpeg21-p039.jpg,https://resolver.kb.nl/resolve?urn=ddd:010949127:mpeg21:p039,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-04-09 pagina 39",665,2929
ddd-010949133-mpeg21-p042.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010949133-mpeg21-p042.jpg,https://resolver.kb.nl/resolve?urn=ddd:010949133:mpeg21:p042,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-04-16 pagina 42",665,2762
ddd-010949139-mpeg21-p040.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010949139-mpeg21-p040.jpg,https://resolver.kb.nl/resolve?urn=ddd:010949139:mpeg21:p040,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-04-23 pagina 40",676,3183
ddd-010948787-mpeg21-p022.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948787-mpeg21-p022.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948787:mpeg21:p022,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-05-01 pagina 22",501,2211
ddd-010948792-mpeg21-p042.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948792-mpeg21-p042.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948792:mpeg21:p042,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-05-07 pagina 42",659,3033
ddd-010948814-mpeg21-p033.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948814-mpeg21-p033.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948814:mpeg21:p033,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-06-04 pagina 33",646,2636
ddd-010948826-mpeg21-p022.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948826-mpeg21-p022.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948826:mpeg21:p022,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-06-18 pagina 22",652,2459
ddd-010948832-mpeg21-p030.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948832-mpeg21-p030.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948832:mpeg21:p030,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-06-25 pagina 30",660,2785
ddd-010948838-mpeg21-p018.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948838-mpeg21-p018.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948838:mpeg21:p018,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-07-02 pagina 18",673,2744
ddd-010948844-mpeg21-p028.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948844-mpeg21-p028.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948844:mpeg21:p028,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-07-09 pagina 28",680,2896
ddd-010948850-mpeg21-p026.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948850-mpeg21-p026.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948850:mpeg21:p026,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-07-16 pagina 26",670,2852
ddd-010948856-mpeg21-p024.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948856-mpeg21-p024.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948856:mpeg21:p024,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-07-23 pagina 24",645,2681
ddd-010948862-mpeg21-p027.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948862-mpeg21-p027.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948862:mpeg21:p027,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-07-30 pagina 27",656,2756
ddd-010948988-mpeg21-p029.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948988-mpeg21-p029.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948988:mpeg21:p029,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-08-06 pagina 29",662,3099
ddd-010948994-mpeg21-p031.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948994-mpeg21-p031.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948994:mpeg21:p031,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-08-13 pagina 31",649,2770
ddd-010949013-mpeg21-p030.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010949013-mpeg21-p030.jpg,https://resolver.kb.nl/resolve?urn=ddd:010949013:mpeg21:p030,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-08-20 pagina 30",682,2990
ddd-010948947-mpeg21-p031.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948947-mpeg21-p031.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948947:mpeg21:p031,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-08-27 pagina 31",649,2737
ddd-010948953-mpeg21-p040.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948953-mpeg21-p040.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948953:mpeg21:p040,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-09-03 pagina 40",659,2782
ddd-010948959-mpeg21-p038.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948959-mpeg21-p038.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948959:mpeg21:p038,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-09-10 pagina 38",661,2720
ddd-010948963-mpeg21-p038.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948963-mpeg21-p038.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948963:mpeg21:p038,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-09-17 pagina 38",678,2181
ddd-010948971-mpeg21-p040.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948971-mpeg21-p040.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948971:mpeg21:p040,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-09-24 pagina 40",670,2257
ddd-010948977-mpeg21-p029.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948977-mpeg21-p029.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948977:mpeg21:p029,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-10-01 pagina 29",690,2652
ddd-010948983-mpeg21-p035.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010948983-mpeg21-p035.jpg,https://resolver.kb.nl/resolve?urn=ddd:010948983:mpeg21:p035,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-10-08 pagina 35",656,2619
ddd-010949003-mpeg21-p027.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010949003-mpeg21-p027.jpg,https://resolver.kb.nl/resolve?urn=ddd:010949003:mpeg21:p027,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-10-15 pagina 27",686,2778
ddd-010949018-mpeg21-p038.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1986/ddd-010949018-mpeg21-p038.jpg,https://resolver.kb.nl/resolve?urn=ddd:010949018:mpeg21:p038,"Het vrĳe volk : democratisch-socialistisch dagblad van 1986-10-29 pagina 38",1313,1424
